Date,Time,Open,High,Low,Close,Vol
10/01/2022,08:00:00,85.1575,85.63,85.1575,85.44,645000
10/01/2022,09:00:00,85.475,85.5325,85.44,85.4975,1151000
10/01/2022,10:00:00,85.5,85.5725,85.3275,85.355,9137000
10/01/2022,11:00:00,85.38,85.3925,84.9,84.955,55400000
10/01/2022,12:00:00,84.9675,85.1525,84.8,85.1075,38746000
10/01/2022,13:00:00,85.1,85.1375,84.7675,84.8425,30485000
10/01/2022,14:00:00,84.89,85.04,84.8675,84.925,22305000
10/01/2022,15:00:00,84.93,85.025,84.8425,84.9025,19418000
11/01/2022,08:00:00,85.005,85.005,84.82,85,2483000
11/01/2022,09:00:00,84.95,85.0075,84.905,84.97,2463000
11/01/2022,10:00:00,84.96,84.985,84.9,84.915,6088000
11/01/2022,11:00:00,84.9,84.975,84.815,84.8175,40021000
11/01/2022,12:00:00,84.815,85,84.7375,84.98,41911000
11/01/2022,13:00:00,84.9625,85.0975,84.83,84.86,37350000
11/01/2022,14:00:00,84.8525,84.915,84.82,84.885,20525000
11/01/2022,15:00:00,84.88,84.905,84.82,84.8525,17183000
12/01/2022,08:00:00,84.8,84.8,84.56,84.6075,1212000
12/01/2022,09:00:00,84.65,84.67,84.51,84.5425,2220000
12/01/2022,10:00:00,84.5375,84.69,84.51,84.6675,2821000
12/01/2022,11:00:00,84.6575,84.7175,84.545,84.6825,21112000
12/01/2022,12:00:00,84.6875,84.8225,84.63,84.6675,20290000
12/01/2022,13:00:00,84.68,84.81,84.555,84.605,38036000
12/01/2022,14:00:00,84.605,84.725,84.58,84.6,17712000
12/01/2022,15:00:00,84.6,84.765,84.58,84.69,15033000
13/01/2022,08:00:00,85.4625,85.495,85.4,85.46,1957000
13/01/2022,09:00:00,85.4025,85.455,85.3875,85.425,2235000
13/01/2022,10:00:00,85.4175,85.45,85.2625,85.2725,7353000
13/01/2022,11:00:00,85.26,85.505,85.2,85.49,42683000
13/01/2022,12:00:00,85.49,85.69,85.46,85.56,47523000
13/01/2022,13:00:00,85.5675,85.595,85.4525,85.5625,21868000
13/01/2022,14:00:00,85.55,85.585,85.485,85.53,17584000
13/01/2022,15:00:00,85.51,86.1075,85.505,86.06,43029000
14/01/2022,08:00:00,87.5,87.555,87.2625,87.33,2695000
